Question,Dataset,Difficulty,Expected Answer (GT),Provided Answer (Pred),Exact Match,Near Match,Semantic Match,Tool Calls,Justification,Processing Time (s)
Welcher Reaktortyp ist das Kernkraftwerk Grafenrheinfeld (KKG)?,dataset1,simple,Druckwasserreaktor,PWR,FALSE,FALSE,TRUE,0,"Der Reaktortyp ist im einführenden Abschnitt des KKG eindeutig angegeben, es ist keine Synthese nötig.",27.84
Welches Unternehmen betreibt das Kernkraftwerk Grafenrheinfeld (KKG)?,dataset1,simple,E.ON Kernkraft GmbH,E.ON Kernkraft GmbH,TRUE,TRUE,TRUE,0,Der Betreiber wird im einleitenden Abschnitt des KKG klar genannt.,16.28
In welchem Jahr ging das Kernkraftwerk Grafenrheinfeld in den kommerziellen Betrieb?,dataset1,simple,1982,1982,TRUE,TRUE,TRUE,0,Das Jahr des kommerziellen Betriebsbeginns ist im KKG‑Bericht direkt angegeben.,16.11
"Wie heißt das Standort‑Zwischenlager am KKG, das 88 Stellplätze besitzt?",dataset1,simple,KKG‑BELLA,KKG-BELLA,TRUE,TRUE,TRUE,0,Der Name des Standort‑Zwischenlagers wird in den KKG‑Dokumenten klar erwähnt.,21.52
Wofür steht die Abkürzung RBZ in den KKG‑Unterlagen?,dataset1,simple,Reststoffbehandlungszentrum,Reststoffbehandlungszentrum,TRUE,TRUE,TRUE,0,Die vollständige Bezeichnung des RBZ ist in der Beschreibung der Abfallbehandlungsanlagen angegeben.,15.72
Nennen Sie zwei der Schutzziele für den Nachbetrieb des KKG.,dataset1,medium,Kontrolle der Reaktivität und Kühlung der Brennelemente,Kühlung der Brennelemente<br>Einschluss radioaktiver Stoffe,FALSE,TRUE,TRUE,0,Die Ziele sind als Liste im Sicherheitsbericht aufgeführt; es müssen zwei ausgewählt werden.,18.81
Welche Teilsektion der Abbauphase 1 des KKG entspricht dem kernbrennstofffreien Zustand?,dataset1,medium,Abschnitt 1C,Abschnitt 1C (1C),TRUE,TRUE,TRUE,0,Man muss die drei Abschnitte der Abbauphase 1 verstehen und denjenigen mit kernbrennstofffreier Anlage identifizieren.,29.92
Was beschreibt der Begriff ‘Sicherer Einschluss’ laut Glossar der UVU?,dataset1,medium,"Eine Stilllegungsstrategie, bei der die Anlage für eine gewisse Zeit (typischerweise 30 Jahre) sicher eingeschlossen wird",30 Jahre,FALSE,TRUE,TRUE,0,Man muss das Glossar der UVU konsultieren und die Definition wiedergeben.,33.46
Welche Einheit für die biologische Wirkung ionisierender Strahlung auf den Menschen nennt das UVU‑Glossar?,dataset1,medium,Sievert,Sievert (Sv),FALSE,TRUE,TRUE,1,Das Glossar liefert die Definition dieser Einheit.,37.8
In welcher Naturlandschaft liegt der Standort des KRB II und wie breit ist diese dort?,dataset1,medium,"Im Donauried, etwa 8 km breit",Süddeutsche Großscholle,FALSE,FALSE,TRUE,3,"Man muss den Standortabschnitt des KRB II lesen, um sowohl Region als auch Breite zu ermitteln.",69.33
Welches Projekt gliedert den Abbau in zwei Phasen und welches in drei Teilvorhaben?,dataset1,hard,"Das KKG nutzt zwei Abbauphasen, das KRB II drei Teilvorhaben",KKG / KRB II,TRUE,TRUE,TRUE,1,Die Antwort erfordert den Vergleich der Strukturen zweier unterschiedlicher Projekte.,47.6
"Nennen Sie das Jahr der ersten nuklearen Kettenreaktion in Block B des Gundremmingen und das Jahr, in dem das KKG in Betrieb ging.",dataset1,hard,1984 und 1982,1984,FALSE,TRUE,TRUE,0,Man kombiniert historische Daten aus zwei Berichten.,41.52
"Nennen Sie zwei Gebäude, in denen das Reststoffbehandlungszentrum (RBZ) des KKG hauptsächlich eingerichtet ist.",dataset1,hard,Reaktorgebäude‑Ringraum und Reaktorhilfsanlagengebäude,Kernkraftwerk,FALSE,FALSE,FALSE,0,Die Lage des RBZ muss aus der Beschreibung der Reststoffbehandlung entnommen werden.,735.5
"Welches der beiden Werke, KKG oder KRB II, hat vor der Stilllegung mehr Strom produziert?",dataset1,hard,KRB II,KKG,FALSE,FALSE,FALSE,3,Man muss die Produktionsdaten aus zwei Berichten vergleichen.,80.63
Welchen Baulinien der KWU gehören KKG bzw. KRB II an?,dataset1,hard,KKG: Baulinie 3 (Vor‑Konvoi); KRB II: Baulinie 72,Baulinie 3 und 72,TRUE,TRUE,TRUE,0,Die jeweiligen Baulinien sind in beiden Berichten zu entnehmen und zu unterscheiden.,18.64
Wie viele Millionen Megawattstunden Strom hat das KKG bis zum 27. Juni 2015 produziert?,dataset2,simple,333,333 Mio.,FALSE,TRUE,TRUE,0,"Die Produktionszahl ist im KKG direkt angegeben, es braucht keine Berechnung.",17.99
In welchem Jahr fand die erste nukleare Kettenreaktion im Block B des Gundremmingen statt?,dataset2,simple,1984,1984,TRUE,TRUE,TRUE,0,Das Jahr der ersten Kettenreaktion ist in der historischen Tabelle des KRB II eindeutig aufgeführt.,17.63
Wie viele Stellplätze hat das Standort‑Zwischenlager KKG‑BELLA?,dataset2,simple,88,88,TRUE,TRUE,TRUE,0,Die Kapazität des KKG‑BELLA ist in der Kurzbeschreibung klar angegeben.,22.13
Wie hoch ist die installierte elektrische Leistung in Megawatt für jede der beiden Einheiten des Gundremmingen KRB II?,dataset2,simple,1344,1344 MW,FALSE,TRUE,TRUE,0,Die installierte Leistung je Einheit ist in der Beschreibung des KRB II angegeben.,16.29
Über wie viele Jahre ist der Betrieb des Zwischenlagers KKG‑BELLA ab 2006 genehmigt?,dataset2,simple,40,40 Jahre,FALSE,TRUE,TRUE,0,Die Genehmigungsdauer für KKG‑BELLA ist in den KKG‑Dokumenten explizit genannt.,17.45
Wie hoch ist die thermische Leistung in Megawatt jeder Reaktoreinheit des Gundremmingen KRB II?,dataset2,medium,3840,3.840 MW,FALSE,TRUE,TRUE,0,Die thermische Leistung muss aus der Reaktorbeschreibung im KRB II entnommen werden.,16.21
In wie viele Phasen ist der Abbau des KKG unterteilt?,dataset2,medium,2,2,TRUE,TRUE,TRUE,1,"Es muss im Stilllegungsplan nachgeschlagen werden, um die Anzahl der Phasen zu bestimmen.",39.74
Wie viele Abschnitte sind für die Abbauphase 1 des KKG beschrieben?,dataset2,medium,3,Keine,FALSE,FALSE,FALSE,2,"Die drei Abschnitte (1A, 1B, 1C) sind in der Kurzbeschreibung nachzulesen.",61.49
Wie hoch ist laut KRB II‑Bericht die mittlere Geländehöhe der Umgebung über NN in Metern?,dataset2,medium,431.5,Keine Angabe,FALSE,FALSE,FALSE,3,Dieser numerische Wert wird in der Standortbeschreibung angegeben.,87.5
Wie breit ist das Donauried am Standort des KRB II in Kilometern?,dataset2,medium,8,N/A,FALSE,FALSE,FALSE,0,Die Breite des Donaurieds wird in der Standortbeschreibung erwähnt.,9.25
Um wie viele Millionen Megawattstunden übertrifft die Gesamtstromproduktion des KRB II die des KKG?,dataset2,hard,282,Keine Angabe,FALSE,FALSE,FALSE,3,Es muss 615 Mrd. kWh in Millionen MWh umgerechnet und die Differenz zu 333 Mio. MWh gebildet werden.,89.56
Wie groß ist das Verhältnis der Gesamtproduktion des KRB II zur Produktion des KKG (gerundet)?,dataset2,hard,1.85,Keine Daten verfügbar.,FALSE,FALSE,FALSE,0,Das Verhältnis ergibt sich aus der Division von 615 Mio. MWh durch 333 Mio. MWh.,20.81
Wie groß ist der Höhenunterschied in Metern zwischen Anlagenhöhe und durchschnittlicher Geländehöhe beim KRB II?,dataset2,hard,1.5,"0,08 Meter",FALSE,FALSE,FALSE,1,"Die Differenz aus Anlagenhöhe (433,0 m) und mittlerer Geländehöhe (431,5 m) muss berechnet werden.",55.18
"Wie viele Stilllegungsabschnitte ergeben sich insgesamt, wenn man die Zahl der Abbauphasen des KKG und die Zahl der Teilvorhaben des KRB II addiert?",dataset2,hard,5,2,FALSE,FALSE,FALSE,3,Es ist die Summe aus den zwei Phasen des KKG und den drei Teilvorhaben des KRB II zu bilden.,127.56
Wie viele Jahre liegen zwischen der ersten nuklearen Kettenreaktion im Block B des Gundremmingen (9. März 1984) und dem Beginn des Betriebs von KKG‑BELLA (2006)?,dataset2,hard,22,22,TRUE,TRUE,TRUE,0,Die Differenz zwischen 2006 und 1984 muss anhand zweier Daten aus unterschiedlichen Dokumenten ermittelt werden.,29.82
War das Kernkraftwerk Grafenrheinfeld ein Druckwasserreaktor?,dataset3,simple,Ja,Nein,FALSE,FALSE,FALSE,1,Der Reaktortyp wird ausdrücklich als Druckwasserreaktor angegeben.,54.55
Hat die 13. Atomgesetznovelle die Betriebsberechtigung des KKG auf den 31. Dezember 2015 begrenzt?,dataset3,simple,Ja,Ja,TRUE,TRUE,TRUE,0,Die KKG‑Dokumente nennen den 31.12.2015 als Endtermin für den Leistungsbetrieb.,25.93
Ist die genehmigte Lagerzeit von KKG‑BELLA kürzer als 30 Jahre?,dataset3,simple,Nein,Nein,TRUE,TRUE,TRUE,0,Die genehmigte Lagerzeit beträgt 40 Jahre und ist somit länger als 30.,17.41
Befindet sich das Reststoffbehandlungszentrum (RBZ) des KKG außerhalb der bestehenden Gebäude?,dataset3,simple,Nein,Innerhalb,FALSE,FALSE,TRUE,0,"Das RBZ wird innerhalb bestehender Kontrollbereiche eingerichtet, nicht außerhalb.",16.63
Definiert das UVU‑Glossar den Sievert als Maß für die biologische Wirkung ionisierender Strahlung auf den Menschen?,dataset3,simple,Ja,Nein,FALSE,FALSE,FALSE,1,Das Glossar definiert den Sievert eindeutig als Einheit für die biologische Strahlenwirkung.,45.08
Besteht die Abbauphase 1 des KKG aus nur einem Abschnitt?,dataset3,medium,Nein,Nein,TRUE,TRUE,TRUE,0,"Die Abbauphase 1 ist in drei Abschnitte (1A, 1B, 1C) unterteilt.",21.34
Ist der ‘Sichere Einschluss’ eine dauerhafte Einschließung ohne anschließenden Abbau?,dataset3,medium,Nein,Nein,TRUE,TRUE,TRUE,0,Die Strategie sieht eine zeitlich begrenzte Einschließung (ca. 30 Jahre) vor; danach erfolgt der Abbau.,33.4
Sind laut KRB II‑Bericht Anlagenhöhe und durchschnittliche Geländehöhe exakt gleich hoch?,dataset3,medium,Nein,Nein,TRUE,TRUE,TRUE,3,"Die Anlagenhöhe (433,0 m) liegt über der durchschnittlichen Geländehöhe (431,5 m).",70.18
Liegt der nächste Ort zum KRB II‑Standort weiter als 5 km entfernt?,dataset3,medium,Nein,Nein,TRUE,TRUE,TRUE,1,Mehrere Dörfer befinden sich in 1–4 km Entfernung.,51.07
Hat das KKG nach dem 27. Juni 2015 weiterhin Strom erzeugt?,dataset3,medium,Nein,Nein,TRUE,TRUE,TRUE,0,Das Werk wurde am 27.06.2015 abgeschaltet und erzeugte danach keinen Strom mehr.,26.1
Gliedern sowohl KKG als auch KRB II ihre Stilllegungspläne in die gleiche Anzahl von Phasen bzw. Teilvorhaben?,dataset3,hard,Nein,Keine ausreichenden Informationen,FALSE,FALSE,FALSE,3,"Das KKG hat zwei Phasen, das KRB II hingegen drei Teilvorhaben.",66.77
Wurden sowohl das KKG als auch das KRB II von KWU (Kraftwerk Union) gebaut?,dataset3,hard,Ja,Ja,TRUE,TRUE,TRUE,0,Beide Dokumente nennen KWU als ursprünglichen Hersteller.,20.31
Wurde der Sicherheitsbericht des KRB II vor der KKG‑Kurzbeschreibung (Mai 2016) veröffentlicht?,dataset3,hard,Nein,Nein,TRUE,TRUE,TRUE,2,Der KRB II‑Bericht datiert vom 23. September 2016 und erschien somit später.,68.52
Sind die im KKG‑Bericht genannten Schutzziele nur auf Kontrolle der Reaktivität und Kühlung der Brennelemente beschränkt?,dataset3,hard,Nein,"Nein, vier.",FALSE,TRUE,TRUE,0,Die Liste umfasst außerdem den Einschluss radioaktiver Stoffe und die Begrenzung der Strahlenexposition.,22.15
Ist das Donauried am Standort des KRB II breiter als 10 km?,dataset3,hard,Nein,Nein,TRUE,TRUE,TRUE,1,"Im Bericht steht, dass das Donauried am Standort etwa 8 km breit ist.",53.99
